Mã học phần 	Tên học phần	Tín chỉ
HG151	Phương pháp nghiên cứu khoa học - KDNN	3
AQ103	Quản lý trại giống cá	2
AQ107	Thực tập thực tế - NTTS	6
AQ203	Tiếng Anh Nuôi trồng thủy sản 1	3
AQ204	Tiếng Anh Nuôi trồng thủy sản 2	3
AQ205C	Vi sinh	3
AQ206T	Nhập môn Khoa học nghề cá	3
AQ207	Khoa học môi trường nước	3
AQ208	Phân loại học đại cương	3
AQ209	Ao hồ học	3
AQ210	Sinh thái học đại cương	2
AQ211	Sinh lý động vật thủy sản	3
AQ212	Dinh dưỡng động vật thủy sản	3
AQ214	Thống kê và phép thí nghiệm	3
AQ216	Phương pháp nghiên cứu khoa học	2
AQ218	Kỹ thuật phân tích chất lượng nước	3
AQ219	Thực tập giáo trình cơ sở	5
AQ220	Sinh học cá	2
AQ221	Kỹ thuật nuôi thủy sản	3
AQ223	Quản lý trại giống giáp xác và nhuyễn thể	3
AQ224T	Thiết bị và công trình thủy sản	2
AQ227ET	Vệ sinh an toàn thực phẩm thủy sản	2
AQ228	Công nghệ sinh học trong nuôi trồng thủy sản	2
AQ228T	Công nghệ sinh học trong nuôi trồng thủy sản	2
AQ229T	Quan trắc sinh học môi trường nước	2
AQ230	Đa dạng sinh học và quản lý nguồn lợi thủy sản	2
AQ231	Thực tập giáo trình chuyên môn nước ngọt	6
AQ232	Thực tập giáo trình chuyên môn hải sản	6
AQ233	Chuyên đề ngoại khóa - TSTT	1
AQ303	Kỹ thuật nuôi giáp xác và nhuyễn thể	3
AQ305	Đại cương về bệnh thủy sản và phương pháp chẩn đoán	3
AQ306C	Bệnh Thủy sản	3
AQ307	Cải tiến di truyền và quản lý nguồn lợi	3
AQ310T	Sản xuất thức ăn tươi sống	2
AQ311ET	Quy hoạch phát triển thủy sản	2
AQ312	Kinh tế thủy sản	2
AQ315	Thuyết trình	1
AQ503	Luận văn tốt nghiệp - NTTS	15
BC461C	Sinh hóa 1	3
BC462C	Sinh hóa 2	3
BS110C	Sinh học đại cương 1	3
BS111C	Sinh học đại cương 2	3
BS210C	Thực hành sinh học đại cương 1	1
BS211C	Thực hành sinh học đại cương 2	1
BT117	Thống kê sinh học và Phương pháp thí nghiệm	3
BT118	Kỹ năng viết trong khoa học và kỹ thuật	3
BT147	Đạo đức và Phương pháp nghiên cứu khoa học	2
BT148	Công nghệ AI và máy học trong công nghệ sinh học	2
BT149	Công nghệ sinh học nano	2
BT150	Miễn dịch học và công nghệ sản xuất vaccine	2
BT200	Toán cao cấp	3
BT200C	Thực tập nhận thức	1
BT202	Di truyền học cơ bản	3
BT203	Thực tập Di truyền học cơ bản	1
BT214	Vật lý	3
BT215	Thực hành Vật lý	1
BT216	Công nghệ sinh học căn bản	3
BT217	TT. Công nghệ di truyền	1
BT218	Công nghệ sinh học trong y dược	2
BT219	Công nghệ sinh học trong môi trường	2
BT220	Công nghệ sinh học thực phẩm	2
BT221	Công nghệ sinh học vi sinh vật	2
BT223	Công nghệ di truyền	2
BT224	Thực hành hóa học đại cương	1
BT225E	Chuyên đề công nghệ sinh học 1	2
BT226E	Chuyên đề công nghệ sinh học 2	2
BT227	Hóa học đại cương	3
BT228	Hóa học hữu cơ	2
BT229	Thực hành Hóa học hữu cơ	1
BT230	Thực hành sinh hóa 1	1
BT231	Thực hành sinh hóa 2	1
BT297	Virus học	2
BT298	Thực tập Virus học	1
BT299E	An toàn sinh học và hệ thống quản lý	2
BT300E	Sinh lý người và động vật	3
BT302	Sinh học phân tử	3
BT303	Thực tập Sinh học phân tử	1
BT303CE	Tin sinh học	3
BT304C	Công nghệ lên men thực phẩm	2
BT305C	Nuôi cấy mô tế bào thực vật	2
BT306C	Protein học	3
BT307CE	Khía cạnh kinh tế xã hội của công nghệ sinh học	2
BT313	Đa dạng sinh học	2
BT404C	TT. Công nghệ lên men thực phẩm	1
BT405C	TT. Nuôi cấy mô tế bào thực vật	1
BT406C	TT. Protein học	1
BT480C	Thực tập cơ sở sản xuất	3
BT499C	Luận văn tốt nghiệp	10
CN004	Khí tượng thủy văn	2
CN008E	Kỹ thuật cơ khí đại cương	2
CN038	Động lực học và điều khiển robot	3
CN038T	Động lực học và điều khiển robot	3
CN039T	Vật liệu xây dựng tiến tiến	2
CN040HT	Vi điều khiển và hệ thống nhúng	3
CN040T	Vi điều khiển và hệ thống nhúng	3
CN041	TT. Kỹ thuật điều khiển	2
CN042	Tin học ứng dụng - kỹ thuật điện	3
CN042H	Tin học ứng dụng - kỹ thuật điện	3
CN043	Thực tập Gia công CNC	3
CN044	TT. Mạng công nghiệp và truyền thông	1
CN046	Tin học ứng dụng - Kỹ thuật 3	2
CN046H	Tin học ứng dụng - Kỹ thuật 3	2
CN047	Thực tập trắc địa đại cương	1
CN048	Thực tập vật liệu xây dựng cơ bản	1
CN049	Thực tập Nguội, hàn, rèn, đúc	2
CN050	Thực tập Gia công cắt gọt	2
CN051	Thực tập cơ học đất - XD	1
CN052	Thực hành Điện tử công suất	2
CN052H	Thực hành Điện tử công suất	2
